Wiederaufnahme der Sitzungsperiode ;81 5 1642;Resumption of the session ;8645 12 4 1607;Resumption of the session ;8645 12 4 1607;0.05528663906222663;1;4
Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen . ;1163 63 2137 5 2208 147 456 262 73 1857 82 1642 4 33 566 8262 25;You have requested a debate on this subject in the course of the next few days , during this part-session . ;376 113 4412 35 269 82 124 2254 3 4 931 12 4 1260 1730 3682 20 755 124 3530 26;Parliament is the desire to a in the in the . ;64 28 4 669 37 35 3 4 3 4 26;2.690876500195463e-13;1;2
Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen - , allen Opfern der Stürme , insbesondere in den verschiedenen Ländern der Europäischen Union , in einer Schweigeminute zu gedenken . ;118 108 210 394 5535 625 15 7 188 5 2208 177 56 20 57 625 14 216 4009 5 0 14 185 4 33 59 727 5 62 266 14 4 456 10717 28 11542 25;In the meantime , I should like to observe a minute s silence , as a number of Members have requested , on behalf of all the victims concerned , particularly those of the terrible storms , in the various countries of the European Union . ;451 4 5345 20 117 33 118 37 4039 35 767 24 2684 20 21 35 868 12 445 113 4412 20 82 1641 12 223 4 283 42 20 480 1241 12 4 3734 6407 20 3 4 59 715 12 4 193 276 26;Today I want ask you is of and colleagues - of the , in particular various countries of the European Union , a minute s silence commemorate . ;1489 117 738 708 448 28 12 53 1997 638 12 4 20 3 438 59 715 12 4 193 276 20 35 767 24 2684 21427 26;5.086865033512968e-27;1;2
Ich bitte Sie , sich zu einer Schweigeminute zu erheben . ;107 578 394 14 180 28 456 10717 28 6498 25;Please rise , then , for this minute s silence . ;6357 1613 20 330 20 61 124 767 24 2684 26;I ask minute s silence . ;117 708 767 24 2684 26;2.0004747681901545e-07;1;2
( Das Parlament erhebt sich zu einer Schweigeminute . ) ;884 157 63 10716 180 28 456 10717 25 886;( The House rose and observed a minute s silence ) ;900 226 1479 7323 53 730 35 767 24 2684 902;Parliament rose and observed specifically with regard to minute s silence . ) ;64 7323 53 730 654 46 345 37 767 24 2684 26 902;9.428177200412938e-05;1;2
Frau Präsidentin , zur Geschäftsordnung . ;617 618 14 222 755 25;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;0.021968590631571878;1;3
Zu den Attentatsopfern , die es in jüngster Zeit in Sri Lanka zu beklagen gab , zählt auch Herr Kumar Ponnambalam , der dem Europäischen Parlament erst vor wenigen Monaten einen Besuch abgestattet hatte . ;710 33 0 14 16 27 4 5217 291 4 7912 7913 28 3075 3271 14 2540 188 53 0 0 14 5 61 62 63 814 96 3108 993 232 6784 0 2441 25;One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam , who had visited the European Parliament just a few months ago . ;1095 12 4 420 8745 372 915 3 5276 7254 834 47 0 0 20 287 442 5151 4 193 64 340 35 1730 995 742 26;the Sri Lanka is of also Mr draft submitted Parliament a few months . ;4 5276 7254 28 12 342 47 1035 3529 64 35 1730 995 26;3.398106423380286e-26;1;3
Ja , Herr Evans , ich denke , daß eine derartige Initiative durchaus angebracht ist . ;8653 14 53 5568 14 210 362 14 30 211 3110 640 2160 5348 7 25;Yes , Mr Evans , I feel an initiative of the type you have just suggested would be entirely appropriate . ;4342 20 47 5136 20 117 853 13 649 12 4 350 448 113 340 592 427 8 3018 1828 26;Yes , Mr Evans , I think that a initiative . ;4342 20 47 5136 20 117 377 31 35 649 26;1.167180546186873e-07;1;2
Wenn das Haus damit einverstanden ist , werde ich dem Vorschlag von Herrn Evans folgen . ;112 15 2278 1232 1196 7 14 1165 210 61 233 46 143 5568 2010 25;If the House agrees , I shall do as Mr Evans has suggested . ;324 4 1479 1000 20 117 331 580 21 47 5136 76 592 26;If the is consent I will of Mr Evans follow footsteps . ;324 4 28 4411 117 125 12 47 5136 2792 9734 26;1.1138851024601558e-09;1;2
Frau Präsidentin , zur Geschäftsordnung . ;617 618 14 222 755 25;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;Madam President , on a point of order . ;635 58 20 82 35 1089 12 735 26;0.021968590631571878;1;3
Könnten Sie mir eine Auskunft zu Artikel 143 im Zusammenhang mit der Unzulässigkeit geben ? ;1498 394 940 211 2527 28 453 0 73 931 131 5 0 66 554;I would like your advice about Rule 143 concerning inadmissibility . ;117 427 118 1234 3826 339 1614 11940 156 0 26;Could information a Article in ? ;1476 204 35 454 3 577;3.682804329980384e-11;1;3
Meine Frage betrifft eine Angelegenheit , die am Donnerstag zur Sprache kommen wird und auf die ich dann erneut verweisen werde . ;1741 202 474 211 557 14 16 721 1672 222 1778 1374 139 20 9 16 210 569 1649 2284 1165 25;My question relates to something that will come up on Thursday and which I will then raise again . ;1933 213 4361 37 2472 31 125 151 890 82 1644 53 15 117 125 330 1714 1301 26;My question is a matter place on Thursday on and I . ;1933 213 28 35 1077 856 82 1644 82 53 117 26;5.291150814174581e-16;1;2
Und zwar sollen derartige Strafen trotz des Grundsatzes der relativen Stabilität verhängt werden . ;972 843 270 3110 5978 1366 50 9084 5 12328 5422 9882 115 25;It says that this should be done despite the principle of relative stability . ;27 6551 31 124 33 8 460 1293 4 463 12 8210 695 26;And to despite principle relative stability . ;1393 37 1293 463 8210 695 26;1.040186486075133e-08;1;2
Ich meine , daß der Grundsatz der relativen Stabilität einen elementaren Rechtsgrundsatz der gemeinsamen Fischereipolitik darstellt und ein Vorschlag , diesen zu unterlaufen , rechtlich unzulässig wäre . ;107 836 14 30 5 484 5 12328 5422 232 15112 0 5 267 6645 4178 20 67 233 14 313 28 14665 14 3639 5857 1510 25;I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible . ;117 208 31 4 463 12 8210 695 28 35 622 263 463 12 4 274 2934 552 53 35 240 37 0 86 427 8 3357 10388 26;I think that the principle relative stability common fisheries policy and proposal unacceptable . ;117 377 31 4 463 8210 695 274 2934 552 53 240 4719 26;4.386121614231169e-20;1;2
Genau dann können Sie , wenn Sie wollen , diese Frage ansprechen , d . h . am Donnerstag zu Beginn der Aussprache über den Bericht . ;6365 569 311 394 14 278 394 90 14 127 202 7021 14 1024 25 1025 25 721 1672 28 2802 5 262 153 33 1506 25;That is precisely the time when you may , if you wish , raise this question , i . e . on Thursday prior to the start of the presentation of the report . ;1014 28 1709 4 398 363 448 319 20 121 448 92 20 1714 124 213 20 1026 26 1027 26 82 1644 2023 37 4 1004 12 4 1735 12 4 1132 26;then can if you want on place on Thursday at in beginning . ;330 6 121 448 738 82 856 82 1644 242 3 139 26;5.344219149934874e-18;1;3
Frau Präsidentin ! ;617 618 58; ;;Madam President , ;635 58 20;0.1436318449736355;1;2
All dies entspricht den Grundsätzen , die wir stets verteidigt haben . ;902 302 2522 33 3151 14 16 42 3635 11844 95 25;This is all in accordance with the principles that we have always upheld . ;162 28 223 3 265 46 4 1569 31 318 113 768 9344 26;All this is we have . ;918 124 28 318 113 26;4.488123652782729e-07;1;2
Vielen Dank , Herr Segni , das will ich gerne tun . ;924 925 14 53 0 14 15 236 210 738 800 25;Thank you , Mr Segni , I shall do so gladly . ;447 448 20 47 0 20 117 331 580 1097 5311 26;Thank you , Mr , this would like . ;447 448 20 47 20 124 427 118 26;2.0605112603563313e-08;1;2
Das ist ganz im Sinne der Position , die wir als Parlament immer vertreten haben . ;157 7 109 73 472 5 697 14 16 42 354 63 671 1641 95 25;Indeed , it is quite in keeping with the positions this House has always adopted . ;1485 20 86 28 120 3 3479 46 4 1317 124 1479 76 768 1376 26;This is the a position we . ;162 28 4 35 707 318 26;9.589645183304348e-13;1;3
Frau Präsidentin ! Ich möchte Sie auf einen Fall aufmerksam machen , mit dem sich dieses Parlament immer wieder befaßt hat . ;617 618 58 107 108 394 9 232 908 396 397 14 131 61 180 207 63 671 91 297 120 25;Madam President , I should like to draw your attention to a case in which this Parliament has consistently shown an interest . ;635 58 20 117 33 118 37 409 1234 410 37 35 922 3 15 124 64 76 6318 852 13 970 26;Madam President , I would like to a Parliament . ;635 58 20 117 427 118 37 35 64 26;7.45481002218537e-15;1;2
Das ist der Fall von Alexander Nikitin . ;157 7 5 908 46 16894 0 25;It is the case of Alexander Nikitin . ;27 28 4 922 12 18703 38049 26;This is the case . ;162 28 4 922 26;2.915768476601399e-05;1;8
